143	Cuba	23.0131338	-80.8328748
144	Liechtenstein	47.1416307	9.5531527
145	Barbados	13.1500331	-59.5250305
146	Armenia	40.7696272	44.6736646
147	Albania	41.000028	19.9999619
148	Bosnia and Herzegovina	44.3053476	17.5961467
149	Guinea	10.7226226	-10.7083587
150	Benin	9.5293472	2.2584408
151	Guinea-Bissau	12.100035	-14.9000214
152	Mozambique	-19.302233	34.9144977
153	Macao	22.1757605	113.5514142
154	Dominican Republic	19.0974031	-70.3028026
155	Guatemala	15.6356088	-89.8988087
156	Mauritius	-20.2759451	57.5703566
157	Rwanda	-1.9646631	30.0644358
158	Malawi	-13.2687204	33.9301963
159	Botswana	-23.1681782	24.5928742
160	Côte d'Ivoire	7.9897371	-5.5679458
161	YE	16.3471243	47.8915271
162	Gabon	-0.8999695	11.6899699
163	Slovakia	48.7411522	19.4528646
164	Mauritania	20.2540382	-9.2399263
165	Zambia	-14.5186239	27.5599164
166	Papua New Guinea	-5.6816069	144.2489081
167	Somalia	8.3676771	49.083416
168	Liberia	5.7499721	-9.3658524
169	Haiti	19.1399952	-72.3570972
170	Bermuda	32.3018217	-64.7603583
171	El Salvador	13.8000382	-88.9140683
172	Grenada	12.1360374	-61.6904045
173	Dominica	19.0974031	-70.3028026
174	Bahamas	24.7736546	-78.0000547
175	Trinidad and Tobago	10.8677845	-60.9821067
176	New Caledonia	-20.454288599999998	164.55660583077983
177	Fiji	-18.1239696	179.0122737
178	Korea, Republic of	36.638392	127.6961188
179	Bahrain	26.1551249	50.5344606
180	Gibraltar	36.140807	-5.3541295
181	Bhutan	27.549511	90.5119273
182	Namibia	-23.2335499	17.3231107
183	Lesotho	-29.6039267	28.3350193
184	Mayotte	-12.823048	45.1520755
185	San Marino	43.9458623	12.458306
186	Samoa	-13.7693895	-172.1200508
187	Timor-Leste	-8.5151979	125.8375756
188	Anguilla	18.1954947	-63.0750234
189	Saint Vincent and the Grenadines	12.90447	-61.2765569
190	Curaçao	12.1845	-68.9640875031406
191	Aruba	12.5013629	-69.9618475
192	Andorra	42.5407167	1.5732033
193	Madagascar	-18.9249604	46.4416422
194	Seychelles	-4.6574977	55.4540146
195	Lao People's Democratic Republic	20.0171109	103.378253
196	Solomon Islands	-8.7053941	159.10710973724628
197	Burundi	-3.3634357	29.8870575
198	Kyrgyzstan	41.5089324	74.724091
199	Togo	8.7800265	1.0199765
200	Guyana	4.8417097	-58.6416891
201	Niger	17.7356214	9.3238432
202	Saudia Arabia	25.6242618	42.3528328
